subject_ses,run,dwi_file,bval_word_count,log_found,failed_in_log,truly_failed
sub-14858x320_ses-SCAP1,02,sub-14858x320_ses-SCAP1_run-02_dwi.nii.gz,33,True,True,True
sub-14967x2640_ses-SCAP1,03,sub-14967x2640_ses-SCAP1_run-03_dwi.nii.gz,33,True,True,True
sub-14824x1240_ses-SCAP1,03,sub-14824x1240_ses-SCAP1_run-03_dwi.nii.gz,33,True,True,True
sub-14858x320_ses-SCAP1,01,sub-14858x320_ses-SCAP1_run-01_dwi.nii.gz,66,True,False,False
sub-14858x320_ses-SCAP1,04,sub-14858x320_ses-SCAP1_run-04_dwi.nii.gz,64,True,False,False
sub-14735x1640_ses-SCAP1,02,sub-14735x1640_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14735x1640_ses-SCAP1,03,sub-14735x1640_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14735x1640_ses-SCAP1,01,sub-14735x1640_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14786x2440_ses-SCAP1,01,sub-14786x2440_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14786x2440_ses-SCAP1,02,sub-14786x2440_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14786x2440_ses-SCAP1,03,sub-14786x2440_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14875x1140_ses-SCAP1,01,sub-14875x1140_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14875x1140_ses-SCAP1,02,sub-14875x1140_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14875x1140_ses-SCAP1,03,sub-14875x1140_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14755x1540_ses-SCAP1,01,sub-14755x1540_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14755x1540_ses-SCAP1,02,sub-14755x1540_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14755x1540_ses-SCAP1,03,sub-14755x1540_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14723x1040_ses-SCAP1,03,sub-14723x1040_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14723x1040_ses-SCAP1,02,sub-14723x1040_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14723x1040_ses-SCAP1,01,sub-14723x1040_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14781x1640_ses-SCAP1,01,sub-14781x1640_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14781x1640_ses-SCAP1,02,sub-14781x1640_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14781x1640_ses-SCAP1,03,sub-14781x1640_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14832x720_ses-SCAP1,03,sub-14832x720_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
sub-14832x720_ses-SCAP1,02,sub-14832x720_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14832x720_ses-SCAP1,01,sub-14832x720_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14757x140_ses-SCAP1,01,sub-14757x140_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14757x840_ses-SCAP1,02,sub-14757x840_ses-SCAP1_run-02_dwi.nii.gz,33,True,False,False
sub-14757x840_ses-SCAP1,01,sub-14757x840_ses-SCAP1_run-01_dwi.nii.gz,33,True,False,False
sub-14757x840_ses-SCAP1,03,sub-14757x840_ses-SCAP1_run-03_dwi.nii.gz,33,True,False,False
