subject_id,session_id,qc_file,subject,general white matter,general grey matter,general csf,cerebellum,brainstem,thalamus,putamen+pallidum,hippocampus+amygdala
sub-14705x1440,ses-SCAP1,qc_run-01.csv,sub-14705x1440_ses-SCAP1_run-01_t1w,0.8334,0.7665,0.7762,0.8651,0.9068,0.8631,0.9141,0.8812
sub-14705x1440,ses-SCAP1,qc_run-02.csv,sub-14705x1440_ses-SCAP1_run-02_t1w,0.8638,0.8144,0.8123,0.8859,0.9194,0.8928,0.9513,0.9167
sub-14705x1440,ses-SCAP1,qc_run-03.csv,sub-14705x1440_ses-SCAP1_run-03_t1w,0.8468,0.7777,0.7996,0.8711,0.9047,0.8755,0.9194,0.8896
sub-14706x220,ses-SCAP1,qc_run-01.csv,sub-14706x220_ses-SCAP1_run-01_t1w,0.8012,0.7268,0.7056,0.8507,0.8496,0.8412,0.9052,0.8644
sub-14706x220,ses-SCAP1,qc_run-02.csv,sub-14706x220_ses-SCAP1_run-02_t1w,0.7899,0.707,0.7014,0.8162,0.8208,0.8378,0.8641,0.8388
sub-14706x220,ses-SCAP1,qc_run-03.csv,sub-14706x220_ses-SCAP1_run-03_t1w,0.6946,0.6679,0.4302,0.883,0.8276,0.5051,0.1615,0.8283
sub-14706x320,ses-SCAP1,qc.csv,sub-14706x320_ses-SCAP1_t1w,0.799,0.7343,0.7731,0.8623,0.8358,0.8416,0.9124,0.8604
sub-14708x1040,ses-SCAP1,qc_run-01.csv,sub-14708x1040_ses-SCAP1_run-01_t1w,0.8635,0.7602,0.7276,0.8568,0.8456,0.8563,0.8987,0.8627
sub-14708x1040,ses-SCAP1,qc_run-02.csv,sub-14708x1040_ses-SCAP1_run-02_t1w,0.8512,0.7295,0.7481,0.88,0.8469,0.8618,0.8847,0.869
sub-14711x720,ses-SCAP1,qc.csv,sub-14711x720_ses-SCAP1_t1w,0.7676,0.7253,0.6734,0.8658,0.8848,0.8264,0.8805,0.8719
sub-14711x820,ses-SCAP1,qc_run-01.csv,sub-14711x820_ses-SCAP1_run-01_t1w,0.8104,0.7412,0.6757,0.8799,0.8656,0.8344,0.9135,0.8231
sub-14711x820,ses-SCAP1,qc_run-02.csv,sub-14711x820_ses-SCAP1_run-02_t1w,0.7052,0.6535,0.7119,0.8833,0.8553,0.7953,0.8637,0.8065
sub-14714x1840,ses-SCAP1,qc_run-01.csv,sub-14714x1840_ses-SCAP1_run-01_t1w,0.7991,0.6875,0.8258,0.9182,0.9236,0.87,0.8549,0.8843
sub-14714x1840,ses-SCAP1,qc_run-02.csv,sub-14714x1840_ses-SCAP1_run-02_t1w,0.8694,0.7939,0.8286,0.9163,0.9256,0.8975,0.9135,0.9187
sub-14714x1840,ses-SCAP1,qc_run-03.csv,sub-14714x1840_ses-SCAP1_run-03_t1w,0.8082,0.698,0.8253,0.9134,0.9158,0.8617,0.8559,0.881
sub-14718x520,ses-SCAP1,qc.csv,sub-14718x520_ses-SCAP1_t1w,0.7566,0.6816,0.6878,0.8621,0.8405,0.8253,0.8865,0.8435
sub-14718x620,ses-SCAP1,qc.csv,sub-14718x620_ses-SCAP1_t1w,0.7878,0.7547,0.7289,0.9151,0.8705,0.8296,0.8962,0.8588
sub-14723x1040,ses-SCAP1,qc_run-01.csv,sub-14723x1040_ses-SCAP1_run-01_t1w,0.8434,0.7387,0.9247,0.8998,0.9267,0.8926,0.8773,0.8685
sub-14723x1040,ses-SCAP1,qc_run-02.csv,sub-14723x1040_ses-SCAP1_run-02_t1w,0.8792,0.782,0.9298,0.9087,0.9242,0.8914,0.9174,0.8848
sub-14723x1040,ses-SCAP1,qc_run-03.csv,sub-14723x1040_ses-SCAP1_run-03_t1w,0.8567,0.7483,0.9262,0.8997,0.9376,0.896,0.8888,0.8802
